participantID,StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,consent,prolificID,attentioncheck_nogap,article_feel,article_sentiment,article_tone,BMIS_sad_1,BMIS_shame_1,BMIS_guilt_1,BMIS_tired_1,BMIS_nervous_1,BMIS_calm_1,BMIS_fedup_1,BMIS_loving_1,BMIS_angry_1,BMIS_lively_1,BMIS_caring_1,BMIS_content_1,BMIS_gloomy_1,BMIS_jittery_1,BMIS_drowsy_1,BMIS_happy_1,BMIS_outraged_1,BMIS_empathetic_1,SE_1,public_CSE1,private_CSE1,credibility,objective,valid,useful,rl_product_choice,RL_timing_First Click,RL_timing_Last Click,RL_timing_Page Submit,RL_timing_Click Count,rl_shop_intentions,rl_purchase,rl_wom,rl_attitude,SE_2,public_CSE2,private_CSE2,BMIS_sad_2,BMIS_shame_2,BMIS_guilt_2,BMIS_tired_2,BMIS_nervous_2,BMIS_calm_2,BMIS_fedup_2,BMIS_loving_2,BMIS_angry_2,BMIS_lively_2,BMIS_caring_2,BMIS_content_2,BMIS_gloomy_2,BMIS_jittery_2,BMIS_drowsy_2,BMIS_happy_2,BMIS_outraged_2,BMIS_empathetic_2,rr_product_choice,RR_timing_First Click,RR_timing_Last Click,RR_timing_Page Submit,RR_timing_Click Count,rr_shop_intentions,rr_purchase,rr_wom,rr_attitude,attentioncheck_gap,control_summary,CN_scale_1,CN_scale_2,CN_scale_3,CN_scale_4,CN_scale_5,CN_scale_6,CN_scale_7,CN_scale_8,SDO_1,SDO_2,SDO_3,SDO_4,SDO_5,SDO_6,SDO_7,SDO_8,SDO_9,SDO_10,SDO_11,SDO_12,SDO_13,SDO_14,SDO_15,SDO_16,public_awareness_1,public_awareness_2,public_awareness_3,public_awareness_4,awareness_norms_1,awareness_norms_2,awareness_norms_3,awareness_norms_4,racial_climate_1,racial_climate_2,racial_climate_3,racial_climate_4,disc_concern_1,disc_concern_2,disc_concern_3,disc_concern_4,cb_1,cb_2,cb_3,cb_4,cb_5,cb_6,cb_7,cb_8,cb_9,cb_10,cb_11,cb_12,cb_13,economic_equality,economic_concern,PBRI_1,PBRI_2,PBOI_1,PBOI_2,PBOI_3,purchase_blackbrand,blacklabel_influence,blackbrand_seek,RacialCentrality_1,RacialCentrality_2,RacialCentrality_3,RacialCentrality_4,RacialCentrality_5,RacialCentrality_6,RacialCentrality_7,RacialCentrality_8,PrivateRegard_1,PrivateRegard_2,PrivateRegard_3,PrivateRegard_4,PrivateRegard_5,PrivateRegard_6,PublicRegard_1,PublicRegard_2,PublicRegard_3,PublicRegard_4,PublicRegard_5,PublicRegard_6,frequency ,interracial_contact_1,interracial_contact_2,interracial_contact_3,interracial_contact_4,interracial_contact_5,interracial_contact_6,interracial_contact_7,FeelTherm_1,BA_1,BA_2,BA_3,BA_4,article,collective_concern,personal concern,collective_action,close_circle,community_awareness,age,race,education,polit_affil,polit_affil_4_TEXT,polit_affil_cont_1,gender,gender_4_TEXT,iat_prev,iat_racial,iat_racial_time,iat_racial_quant,recent_results,control_white,control_black,nogap_white,nogap_black,gap_white,gap_black
19,2024-01-25 0:55:42,2024-01-25 0:58:29,0,2,166,0,2024-01-25 13:42:48,R_1dG4usUnGg9GBHX,anonymous,EN,2,57f0d96061e8340001877045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
20,2024-01-25 0:13:28,2024-01-25 0:16:25,0,50,177,0,2024-01-25 13:43:03,R_6OxHam7jhUKOBUZ,anonymous,EN,2,5d4c7d1a2a25e5000114cf3b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
21,2024-01-25 3:00:14,2024-01-25 3:03:17,0,50,182,0,2024-01-25 13:42:09,R_5FkTjqk6AK2T4mQ,anonymous,EN,2,63c13fcab1eda5bbe034a17c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
22,2024-01-25 0:14:05,2024-01-25 0:17:32,0,14,206,0,2024-01-25 13:42:57,R_7sak7alel5ira8T,anonymous,EN,2,5be79fa10e366e000175d720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
23,2024-01-25 0:17:58,2024-01-25 0:21:46,0,50,227,0,2024-01-25 13:43:00,R_6IhdsRXeTR5TQ6P,anonymous,EN,2,6091b418d1cddb4526a44543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
24,2024-01-25 1:40:50,2024-01-25 1:44:45,0,49,235,0,2024-01-25 13:42:35,R_3ygybuZD7MWkHBI,anonymous,EN,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
25,2024-01-25 1:31:50,2024-01-25 1:35:57,0,62,246,0,2024-01-25 13:42:38,R_5uvSebyOsouN0K5,anonymous,EN,2,596bac33670f410001fe9c07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
26,2024-01-25 0:01:02,2024-01-25 0:05:18,0,100,255,1,2024-01-25 0:05:18,R_3P09CF5Cc1dNPZH,anonymous,EN,2,5badcd276322c5000157c196,,2,-1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,4,4,4,5,44,2.058,7.514,8.356,7,4,4,4,4,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,4,4,3,3,3,3,3,3,3,3,3,,,4,4,1,1,1,0,4,4,3,3,4,4,4,4,4,4,3,3,3,4,4,4,4,3,4,3,4,4,,,,,,,,,0,2,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,4,
27,2024-01-25 1:20:06,2024-01-25 1:24:58,0,64,292,0,2024-01-25 13:42:41,R_5NsM5XEJlbzeAia,anonymous,EN,2,6595be83dbc6d36b1ef53d28,,3,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Affluent areas thrive more so due to economic growth in the area, less affluent isn't necessarily left behind. Higher costs of living are generally reflective of the average wealth of the area.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
28,2024-01-25 2:25:58,2024-01-25 2:31:20,0,50,321,0,2024-01-25 13:42:22,R_5LLtKhVu8fyLHHE,anonymous,EN,2,5dd4074feab0423daf012f92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
29,2024-01-25 1:00:54,2024-01-25 1:07:41,0,100,406,1,2024-01-25 1:07:42,R_7Flb78YxbBM6GbP,anonymous,EN,2,61549a2caa92d84f392000e9,"This suggests that educational attainment plays a crucial role in bridging the income gap between these groups. In contrast, for those aged 65 and older with less than a high school education, median annual incomes range from $18,812 for Whites to $16,057 for Blacks.
",5,1,4,1,1,1,1,1,1,1,3,1,2,4,3,1,1,1,4,1,1,3,4,1,7,6,5,6,,,,,,,,,,4,3,1,1,1,1,1,1,1,1,3,1,3,4,3,1,1,1,4,1,1,16,1.578,5.906,6.663,5,4,5,4,4,,,3,3,4,3,2,3,4,3,4,4,5,4,5,6,6,5,4,5,5,4,4,4,5,6,3,3,4,3,3,3,4,3,3,3,3,4,3,3,4,3,3,3,2,3,3,3,2,4,3,3,2,2,3,3,3,4,5,3,3,4,0,4,4,4,4,5,5,5,4,4,4,4,4,5,7,7,7,4,4,5,4,6,4,3,3,3,4,4,5,3,3,75,4,5,4,4,nice,no,good,nice,nice,no,29,1,5,2,,1,2,,21,,,,,,,,3,,
30,2024-01-25 0:10:17,2024-01-25 0:17:34,0,62,436,0,2024-01-25 13:43:05,R_6FCVvhpswC9tLjz,anonymous,EN,2,594a969df0ea1b0001558178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
31,2024-01-24 23:52:28,2024-01-25 0:00:00,0,100,451,1,2024-01-25 0:00:00,R_1eTPPTvQ9yVugvv,anonymous,EN,2,5fc54af5d4630404ca86fa7e,,4,-1,3,2,2,2,2,2,2,2,2,2,2,3,2,2,1,4,2,2,3,4,2,1,7,7,7,7,,,,,,,,,,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,3.142,7.879,8.559,6,3,4,3,4,,"Income inequality happens for several reasons including high-income areas like cities simply growing more, even accounting for increased cost of living. Some government programs to grow rural areas may help.",1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,1,1,1,1,7,7,7,7,2,2,3,2,5,,5,5,4,5,5,5,2,1,4,5,1,2,2,2,1,3,1,1,1,1,1,1,1,5,5,2,2,1,1,1,1,5,2,5,2,3,6,3,3,3,5,4,5,4,2,3,6,5,6,2,2,6,6,3,2,1,1,3,2,3,2,65,3,3,3,3,I remember having to write about it and programs to combat inequality.,"A good deal are concerned, but not enough.","Not at all, I was born into the system without any choice in it and no power to make anyone else change.",A little bit.,A lot of importance though not always actively.,"Yes, people talk about racial issues and will support campaigns.",35,1,3,2,,1,2,,21,,,,,0,,,,,
32,2024-01-25 0:05:35,2024-01-25 0:13:25,0,100,470,1,2024-01-25 0:13:26,R_6kkb3Tf3nPGA7hG,anonymous,EN,2,5caf87816ef0d100017611c4,,2,-1,2,3,1,1,1,1,4,1,4,1,4,4,4,1,1,1,4,1,3,4,4,1,5,5,5,5,23,4.55,11.673,11.985,11,5,5,6,6,4,4,1,1,1,1,1,1,4,1,4,1,4,4,4,1,1,1,4,1,4,,,,,,,,,,There are significant wealth gaps between whites and blacks in home equity based on education and other factors.,,3,2,3,4,4,3,3,3,5,5,5,3,5,3,4,3,5,5,5,5,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,2,2,2,4,4,2,4,4,4,4,4,4,4,4,4,2,2,2,1,1,1,1,3,1,1,7,5,1,7,5,5,1,6,6,5,2,6,6,6,5,2,2,5,5,4,1,2,2,5,1,1,1,70,2,2,2,2,"I think some points made in the article are valid, but many of the topics on the subject are exaggerated.",minorly concerned,I am not responsible,Many people in my community work to educate themselves and ensure they are not adding to the problem.,moderate importance,yes,29,1,6,1,,6,1,,22,21,,,,,,,,4,
33,2024-01-25 0:55:05,2024-01-25 1:03:51,0,100,525,1,2024-01-25 1:03:51,R_18IDZkaBdHUoUFw,anonymous,EN,2,59baa339ab8d830001fe56f5,,4,0,,1,1,1,1,1,4,1,4,1,3,4,4,1,1,1,4,1,4,4,5,1,7,6,7,6,,,,,,,,,,4,5,1,1,1,1,1,1,4,1,4,1,4,4,4,1,1,1,4,1,4,42,7.332,12.572,14.92,4,4,4,4,4,,Large cities have higher incomes just cause there's more work needing to be done. Government is helping smaller cities with infrastructure.,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,1,1,1,1,7,7,7,7,3,3,3,3,1,1,1,1,1,1,1,1,3,2,3,2,3,5,3,3,4,5,4,2,3,3,4,4,3,4,1,1,1,2,1,1,0,4,1,7,1,1,7,1,1,1,7,4,4,4,4,4,4,4,4,4,4,4,4,3,2,1,1,4,1,4,1,100,2,1,3,1,Larger cities means more income. That's fine by me.,50 percent.,Not at all.,30 percent,"We don't even think about it, we just get along.",no,39,1,5,3,,3,1,,21,,,,,,1,,,,
